id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1420995136356458496,1420995136356458496,2021-07-30 09:30:15 Türkiye Standart Saati,2021-07-30,09:30:15,+0300,1022121524,diyanettv,Diyanet TV,,"🔹 Cuma bir andır. Huzurun ve sevincin gönülleri mesken tuttuğu zamandır.  🔸 Mü’minlerin avuçları, günün en bereketli saatinde duaya yükselir bugün...  🔷 Rahmetin solunduğu bu mübarek günde ""Cuma Sevinci"" canlı yayınla her cuma saat 12.15'de #DiyanetTV’de 📺  https://t.co/B9JRlO4Jxt",tr,[],[],[],0,0,12,['diyanettv'],[],https://twitter.com/DiyanetTV/status/1420995136356458496,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1420995103955488769/pu/img/SgFwXBTd1m8W-MJI.jpg,,,,,,,[],,,,
1420988287725023232,1420988287725023232,2021-07-30 09:03:03 Türkiye Standart Saati,2021-07-30,09:03:03,+0300,1022121524,diyanettv,Diyanet TV,,📌 Dini Konularda Aklımıza Takılan Sorular Cevap Buluyor   💠 Konuğumuz Din İşleri Yüksek Kurulu Uzmanı Halil Kılıç  #GününBereketi hafta içi her gün saat 10.30'da #DiyanetTV'de 📺  https://t.co/KyBUN3GWKt,tr,[],[],['https://pbs.twimg.com/media/E7hdUKKXoAIKClz.jpg'],0,0,7,"['gününbereketi', 'diyanettv']",[],https://twitter.com/DiyanetTV/status/1420988287725023232,False,,1,https://pbs.twimg.com/media/E7hdUKKXoAIKClz.jpg,,,,,,,[],,,,
1420972440054870018,1420972440054870018,2021-07-30 08:00:04 Türkiye Standart Saati,2021-07-30,08:00:04,+0300,1022121524,diyanettv,Diyanet TV,,📺 #DiyanetTV'de Bugün  📌 30 Temmuz 2021 Cuma  ▪️ 10.30 Günün Bereketi ▪️ 12.15 Cuma Sevinci ▪️ 19.00 Bil Bakalım ▪️ 21.00 Bisikletli Seyyah  #Güvenleİzleyin  https://t.co/DG3bEaRxtv,tr,[],[],['https://pbs.twimg.com/media/E7hO5wqXEAAC6uq.jpg'],0,0,7,"['diyanettv', 'güvenlei̇zleyin']",[],https://twitter.com/DiyanetTV/status/1420972440054870018,False,,1,https://pbs.twimg.com/media/E7hO5wqXEAAC6uq.jpg,,,,,,,[],,,,
1420964888961245187,1420964888961245187,2021-07-30 07:30:04 Türkiye Standart Saati,2021-07-30,07:30:04,+0300,1022121524,diyanettv,Diyanet TV,,"“Allah’ım! Bozgunculuktan, münafıklıktan ve kötü ahlâktan sana sığınırım.”   Hadis-i Şerif | Ebû Dâvûd, vitr, 32 #GününDuası  https://t.co/hCKveJvOOv",tr,[],[],['https://pbs.twimg.com/media/E7hICOrXIAA4eny.jpg'],0,17,139,['gününduası'],[],https://twitter.com/DiyanetTV/status/1420964888961245187,False,,1,https://pbs.twimg.com/media/E7hICOrXIAA4eny.jpg,,,,,,,[],,,,
1420942228625793029,1420942228625793029,2021-07-30 06:00:01 Türkiye Standart Saati,2021-07-30,06:00:01,+0300,1022121524,diyanettv,Diyanet TV,,"📍 Bir #Ayet, Bir #Hadis, Bir #Dua  (İşaret Dili)  #HayırlıSabahlar #DiyanetTV  https://t.co/kRsvyf2VLI",tr,[],[],[],0,5,25,"['ayet', 'hadis', 'dua', 'hayırlısabahlar', 'diyanettv']",[],https://twitter.com/DiyanetTV/status/1420942228625793029,False,,1,https://pbs.twimg.com/media/E7ShfNJXIAQIdKP.jpg,,,,,,,[],,,,
1420844086794330121,1420844086794330121,2021-07-29 23:30:02 Türkiye Standart Saati,2021-07-29,23:30:02,+0300,1022121524,diyanettv,Diyanet TV,,"Allah'ın Selamı, Rahmeti, Bereketi üzerimize olsun! Cumamız Mübarek Olsun | #HayırlıCumalar  https://t.co/lTbXDpSvhJ",tr,[],[],['https://pbs.twimg.com/media/E7faKnSWYAIFUmc.jpg'],1,18,126,['hayırlıcumalar'],[],https://twitter.com/DiyanetTV/status/1420844086794330121,False,,1,https://pbs.twimg.com/media/E7faKnSWYAIFUmc.jpg,,,,,,,[],,,,
1420813878737391620,1420813878737391620,2021-07-29 21:30:00 Türkiye Standart Saati,2021-07-29,21:30:00,+0300,1022121524,diyanettv,Diyanet TV,,Tercih Maratonu Başladı  https://t.co/CNQdDa41XZ,tr,[],[],[],0,0,12,[],[],https://twitter.com/DiyanetTV/status/1420813878737391620,False,,1,https://pbs.twimg.com/amplify_video_thumb/1420788916290994177/img/5gljwb9lp0H1054N.jpg,,,,,,,[],,,,
1420798778727034883,1420798778727034883,2021-07-29 20:30:00 Türkiye Standart Saati,2021-07-29,20:30:00,+0300,1022121524,diyanettv,Diyanet TV,,"""Filistinli Gençlerin Direnişine Hayranız""  https://t.co/SKKlfVy1FA",tr,[],[],[],0,3,16,[],[],https://twitter.com/DiyanetTV/status/1420798778727034883,False,,1,https://pbs.twimg.com/amplify_video_thumb/1420788872733200395/img/rCWwCXDwD58ATXCS.jpg,,,,,,,[],,,,
1420742189341188101,1420742189341188101,2021-07-29 16:45:08 Türkiye Standart Saati,2021-07-29,16:45:08,+0300,1022121524,diyanettv,Diyanet TV,,"""20 yıllık birikimimiz...Evimiz, yuvamız kalmadı.""  Adana’daki orman yangınında evini kaybeden amcamızın yürek burkan konuşması.   #Manavgat #Kayseri #Mersin #Adana #Marmaris  https://t.co/rUEdBeL4s0",tr,[],[],[],4,28,85,"['manavgat', 'kayseri', 'mersin', 'adana', 'marmaris']",[],https://twitter.com/DiyanetTV/status/1420742189341188101,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1420742105778036737/pu/img/lo43uIR0JPrFChtz.jpg,,,,,,,[],,,,
1420736054336892931,1420736054336892931,2021-07-29 16:20:46 Türkiye Standart Saati,2021-07-29,16:20:46,+0300,1022121524,diyanettv,Diyanet TV,,"“Gel, gitme ne olursunuz, Allah'ım yardım et”  Manavgat’ta bir vatandaşın alevlerden hayvanlarını kurtarma çabası yürekleri yaktı.   #Manavgat #Kayseri #Mersin #Adana #Marmaris  https://t.co/QeYMqogT5J",tr,[],[],[],2,54,180,"['manavgat', 'kayseri', 'mersin', 'adana', 'marmaris']",[],https://twitter.com/DiyanetTV/status/1420736054336892931,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1420736018941194241/pu/img/XdWjHxk9ItTVxcxr.jpg,,,,,,,[],,,,
